run_id,instance_id,seed,repeat,arm,source_sha256,protocol_sha256,input_sha256,status,root_status,actual_root_source,factor_fallback,physical_ok,complete_ok,recovery_success,projected_collision_status,T_physical_return,T_complete_return,T_total,reference_certified_body_clearance,group,simulation_executed,success,rms_position_error,max_position_error,rms_attitude_error_rad,max_attitude_error_rad,min_realized_clearance,min_floor_clearance,max_velocity,max_acceleration,max_jerk,max_thrust,max_rotor_thrust,max_body_rate,actuator_saturation_updates,actuator_saturation_duration,contact_steps,contact_events,body_collision_samples,final_position_error,samples,simulation_duration,log,log_sha256,simulation_wall_seconds,not_run_reason
B_s5_r0_factor,heldout_41005,41005,0,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,c8316b963006f25e0b5d983ac85da442589a0fb5b679af8ee3525a9e4826f318,COMPLETE_SUCCESS,optimal,conic,True,True,True,True,COLLISION_WITNESSED,585.3652079968015,724.5152909963508,724.5176659998833,0.16018146865892044,cluttered,True,True,0.008478513238010738,0.023983703307696124,0.0039062451369438,0.018100174926327657,0.14789505221757906,0.6493044422014199,1.819335346377798,0.8921042492606991,0.8607076503257004,6.143715560159597,1.7723304834475755,0.36838332574230587,0,0.0,0,0,0,5.555697181557265e-05,10501,10.5,raw/B_s5_r0_factor.tracking.npz,83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d,0.5546391669995501,
B_s5_r0_conic,heldout_41005,41005,0,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,c8316b963006f25e0b5d983ac85da442589a0fb5b679af8ee3525a9e4826f318,COMPLETE_SUCCESS,optimal,conic,False,True,True,True,COLLISION_WITNESSED,597.3409170037485,735.6412920053117,735.6440000003204,0.16018146865892044,cluttered,True,True,0.008478513238010738,0.023983703307696124,0.0039062451369438,0.018100174926327657,0.14789505221757906,0.6493044422014199,1.819335346377798,0.8921042492606991,0.8607076503257004,6.143715560159597,1.7723304834475755,0.36838332574230587,0,0.0,0,0,0,5.555697181557265e-05,10501,10.5,raw/B_s5_r0_conic.tracking.npz,83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d,0.5413049999988289,
B_s5_r1_conic,heldout_41005,41005,1,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,c8316b963006f25e0b5d983ac85da442589a0fb5b679af8ee3525a9e4826f318,COMPLETE_SUCCESS,optimal,conic,False,True,True,True,COLLISION_WITNESSED,402.7244579992839,546.0381249940838,546.041082998272,0.16018146865892044,cluttered,True,True,0.008478513238010738,0.023983703307696124,0.0039062451369438,0.018100174926327657,0.14789505221757906,0.6493044422014199,1.819335346377798,0.8921042492606991,0.8607076503257004,6.143715560159597,1.7723304834475755,0.36838332574230587,0,0.0,0,0,0,5.555697181557265e-05,10501,10.5,raw/B_s5_r1_conic.tracking.npz,83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d,0.589865916997951,
B_s5_r1_factor,heldout_41005,41005,1,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,c8316b963006f25e0b5d983ac85da442589a0fb5b679af8ee3525a9e4826f318,COMPLETE_SUCCESS,optimal,conic,True,True,True,True,COLLISION_WITNESSED,439.2577499966137,578.131874994142,578.1348749951576,0.16018146865892044,cluttered,True,True,0.008478513238010738,0.023983703307696124,0.0039062451369438,0.018100174926327657,0.14789505221757906,0.6493044422014199,1.819335346377798,0.8921042492606991,0.8607076503257004,6.143715560159597,1.7723304834475755,0.36838332574230587,0,0.0,0,0,0,5.555697181557265e-05,10501,10.5,raw/B_s5_r1_factor.tracking.npz,83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d,0.5393311250008992,
B_s6_r0_conic,heldout_41006,41006,0,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,8057e38afbc60674c1662382994332fc914c935131f046df72dfb496d3012308,ROOT_FAILURE,optimal,,False,False,False,False,NOT_AVAILABLE,335.062416997971,335.428457998205,335.4313750023721,,cluttered,False,False,,,,,,,,,,,,,,,,,,,,,,,,physical planning not accepted
B_s6_r0_factor,heldout_41006,41006,0,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,8057e38afbc60674c1662382994332fc914c935131f046df72dfb496d3012308,ROOT_FAILURE,optimal,,True,False,False,False,NOT_AVAILABLE,353.1634169994504,353.531083004782,353.5337920038728,,cluttered,False,False,,,,,,,,,,,,,,,,,,,,,,,,physical planning not accepted
B_s6_r1_factor,heldout_41006,41006,1,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,8057e38afbc60674c1662382994332fc914c935131f046df72dfb496d3012308,ROOT_FAILURE,optimal,,True,False,False,False,NOT_AVAILABLE,167.39595899707638,167.76641699834727,167.76866700092796,,cluttered,False,False,,,,,,,,,,,,,,,,,,,,,,,,physical planning not accepted
B_s6_r1_conic,heldout_41006,41006,1,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,8057e38afbc60674c1662382994332fc914c935131f046df72dfb496d3012308,ROOT_FAILURE,optimal,,False,False,False,False,NOT_AVAILABLE,162.16845799499424,162.52091599744745,162.52324999368284,,cluttered,False,False,,,,,,,,,,,,,,,,,,,,,,,,physical planning not accepted
B_s7_r0_factor,heldout_41007,41007,0,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,be86e491949ee9298dee6a10d9543b05f74e5b4243ac47d09d50a252c47f61fa,ROOT_FAILURE,optimal,,True,False,False,False,NOT_AVAILABLE,318.18262500019046,318.59829099994386,318.601499995566,,cluttered,False,False,,,,,,,,,,,,,,,,,,,,,,,,physical planning not accepted
B_s7_r0_conic,heldout_41007,41007,0,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,be86e491949ee9298dee6a10d9543b05f74e5b4243ac47d09d50a252c47f61fa,ROOT_FAILURE,optimal,,False,False,False,False,NOT_AVAILABLE,357.06829099945026,357.42949999985285,357.4323330030893,,cluttered,False,False,,,,,,,,,,,,,,,,,,,,,,,,physical planning not accepted
