seed,step,repeat,instance_id,input_sha256,protocol_sha256,source_sha256,conic_run_id,conic_physical_ok,conic_complete_ok,conic_recovery_attempted,conic_factor_fallback,conic_T_physical_return,conic_T_complete_return,conic_T_root,conic_trajectory_energy_exact,factor_run_id,factor_physical_ok,factor_complete_ok,factor_recovery_attempted,factor_factor_fallback,factor_T_physical_return,factor_T_complete_return,factor_T_root,factor_trajectory_energy_exact,delta_physical_ms,delta_complete_ms
31016,2,0,31016_2,74c79d7c178c5a10affd61821a2d5d565a7763ac328c6e6c0f809ef912a1fe1b,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31016_t2_conic,True,True,False,False,32.54929200193146,67.58095800614683,25.676833000034094,"[""9760943103229702995173513806609716852364607"",""609786001522321726526367296517728634929152""]",A_r0_s31016_t2_factor,True,True,True,False,83.41725000354927,125.95333399804076,14.862792006169911,"[""12258269017040347467687698783845715025355005628037383"",""718636824158511622559589807045215931679287665491968""]",50.86795800161781,58.37237599189393
31016,2,1,31016_2,74c79d7c178c5a10affd61821a2d5d565a7763ac328c6e6c0f809ef912a1fe1b,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31016_t2_conic,True,True,False,False,32.92887499992503,67.43024999741465,25.87337500153808,"[""9760943103229702995173513806609716852364607"",""609786001522321726526367296517728634929152""]",A_r1_s31016_t2_factor,True,True,True,False,73.50712500192458,116.14962499879766,5.762500004493631,"[""12258269017040347467687698783845715025355005628037383"",""718636824158511622559589807045215931679287665491968""]",40.57825000199955,48.719375001383014
31016,3,0,31016_3,f8d392d657de6f4a64001df2f11d511ccfc21f05e5ee34a8f1dd92bca4aa41ad,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31016_t3_conic,True,True,False,False,32.67125000274973,66.36687500576954,25.51050000329269,"[""3661928170724009861615434903314508168305797"",""228669750570870647447387736194148238098432""]",A_r0_s31016_t3_factor,True,True,True,False,75.29012499435339,126.73458399513038,4.963416999089532,"[""21389431222625591295986576122375326292596869111783069"",""1257614442277395339479282162329127880438753414610944""]",42.61887499160366,60.367708989360835
31016,3,1,31016_3,f8d392d657de6f4a64001df2f11d511ccfc21f05e5ee34a8f1dd92bca4aa41ad,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31016_t3_conic,True,True,False,False,32.226000002992805,66.6966249991674,25.27158300654264,"[""3661928170724009861615434903314508168305797"",""228669750570870647447387736194148238098432""]",A_r1_s31016_t3_factor,True,True,True,False,75.71379200089723,127.29208399832714,5.179625004529953,"[""21389431222625591295986576122375326292596869111783069"",""1257614442277395339479282162329127880438753414610944""]",43.487791997904424,60.595458999159746
31016,4,0,31016_4,8eebf95eed3d3c294d8bd5de3e9d2fb3929a4ee1033f70c45af9c8880aa21c74,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31016_t4_conic,True,True,False,False,33.69337500043912,68.0947919972823,26.86837499641115,"[""1831362056096550959154477974873495618030471"",""114334875285435323723693868097074119049216""]",A_r0_s31016_t4_factor,True,True,True,False,69.45916599943303,132.77970800118055,4.922749998513609,"[""10683747621000879717941468383761219268701447025478677"",""628807221138697669739641081164563940219376707305472""]",35.76579099899391,64.68491600389825
31016,4,1,31016_4,8eebf95eed3d3c294d8bd5de3e9d2fb3929a4ee1033f70c45af9c8880aa21c74,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31016_t4_conic,True,True,False,False,38.30245800054399,73.16749999881722,30.762874994252343,"[""1831362056096550959154477974873495618030471"",""114334875285435323723693868097074119049216""]",A_r1_s31016_t4_factor,True,True,True,False,71.2744999982533,134.74412499635946,5.307125000399537,"[""10683747621000879717941468383761219268701447025478677"",""628807221138697669739641081164563940219376707305472""]",32.97204199770931,61.57662499754224
31016,5,0,31016_5,3c654c87a853968af50350066d4f015efe9513f424886d227d7ba648ef8f84b7,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31016_t5_conic,True,True,False,False,33.63024999998743,68.25758299964946,26.456041996425483,"[""1831162145893425241512194141319469216321381"",""114334875285435323723693868097074119049216""]",A_r0_s31016_t5_factor,True,True,False,False,28.66037499916274,109.50970799603965,4.904458997771144,"[""457790536453762460383059243535487975566889"",""28583718821358830930923467024268529762304""]",-4.969875000824686,41.252124996390194
31016,5,1,31016_5,3c654c87a853968af50350066d4f015efe9513f424886d227d7ba648ef8f84b7,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31016_t5_conic,True,True,False,False,33.72504199796822,67.69591700140154,26.579041994409636,"[""1831162145893425241512194141319469216321381"",""114334875285435323723693868097074119049216""]",A_r1_s31016_t5_factor,True,True,False,False,26.019916003861,107.65275000449037,5.404250005085487,"[""457790536453762460383059243535487975566889"",""28583718821358830930923467024268529762304""]",-7.70512599410722,39.95683300308883
31016,6,0,31016_6,9839509b5e43133ccc393ac28e841c0eb0117cd6bd8caed6caae2cb4f1b82cee,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31016_t6_conic,True,True,False,False,31.95308399881469,65.9625420012162,24.82837499701418,"[""7321867897430086721110198922621473561286399"",""457339501141741294894775472388296476196864""]",A_r0_s31016_t6_factor,True,True,False,False,25.39983400492929,58.424834001925774,3.9222499981406145,"[""29287471588891201578109790008327671823102571"",""1829358004566965179579101889553185904787456""]",-6.553249993885402,-7.537707999290433
31016,6,1,31016_6,9839509b5e43133ccc393ac28e841c0eb0117cd6bd8caed6caae2cb4f1b82cee,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31016_t6_conic,True,True,False,False,32.68154099350795,66.86845799413277,25.36425000289455,"[""7321867897430086721110198922621473561286399"",""457339501141741294894775472388296476196864""]",A_r1_s31016_t6_factor,True,True,False,False,21.95929099980276,55.13483300455846,4.157499999564607,"[""29287471588891201578109790008327671823102571"",""1829358004566965179579101889553185904787456""]",-10.72224999370519,-11.73362498957431
