run_id,instance_id,seed,repeat,arm,group,physical_ok,complete_ok,status,projected_collision_status,simulation_executed,success,log,log_sha256
B_s8_r1_conic,heldout_41008,41008,1,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s9_r0_factor,heldout_41009,41009,0,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s9_r0_conic,heldout_41009,41009,0,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s9_r1_conic,heldout_41009,41009,1,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s9_r1_factor,heldout_41009,41009,1,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s10_r0_conic,heldout_41010,41010,0,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s10_r0_factor,heldout_41010,41010,0,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s10_r1_factor,heldout_41010,41010,1,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s10_r1_conic,heldout_41010,41010,1,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s11_r0_factor,heldout_41011,41011,0,factor,cluttered,True,False,PHYSICAL_ONLY,COLLISION_WITNESSED,True,True,tracking/934c5c1a710323fb0b4c525caaffe5527e9ea1fc4b5b5241782f534d043243fd.npz,934c5c1a710323fb0b4c525caaffe5527e9ea1fc4b5b5241782f534d043243fd
B_s11_r0_conic,heldout_41011,41011,0,conic,cluttered,True,False,PHYSICAL_ONLY,COLLISION_WITNESSED,True,True,tracking/934c5c1a710323fb0b4c525caaffe5527e9ea1fc4b5b5241782f534d043243fd.npz,934c5c1a710323fb0b4c525caaffe5527e9ea1fc4b5b5241782f534d043243fd
B_s11_r1_conic,heldout_41011,41011,1,conic,cluttered,True,False,PHYSICAL_ONLY,COLLISION_WITNESSED,True,True,tracking/934c5c1a710323fb0b4c525caaffe5527e9ea1fc4b5b5241782f534d043243fd.npz,934c5c1a710323fb0b4c525caaffe5527e9ea1fc4b5b5241782f534d043243fd
B_s11_r1_factor,heldout_41011,41011,1,factor,cluttered,True,False,PHYSICAL_ONLY,COLLISION_WITNESSED,True,True,tracking/934c5c1a710323fb0b4c525caaffe5527e9ea1fc4b5b5241782f534d043243fd.npz,934c5c1a710323fb0b4c525caaffe5527e9ea1fc4b5b5241782f534d043243fd
B_s12_r0_conic,heldout_41012,41012,0,conic,cluttered,True,False,PHYSICAL_ONLY,COLLISION_WITNESSED,True,True,tracking/d29526f898d7e6dd4f8fc0824e10ea10068c518fcd2717034933fa8e42849c6b.npz,d29526f898d7e6dd4f8fc0824e10ea10068c518fcd2717034933fa8e42849c6b
B_s12_r0_factor,heldout_41012,41012,0,factor,cluttered,True,False,PHYSICAL_ONLY,COLLISION_WITNESSED,True,True,tracking/d29526f898d7e6dd4f8fc0824e10ea10068c518fcd2717034933fa8e42849c6b.npz,d29526f898d7e6dd4f8fc0824e10ea10068c518fcd2717034933fa8e42849c6b
B_s12_r1_factor,heldout_41012,41012,1,factor,cluttered,True,False,PHYSICAL_ONLY,COLLISION_WITNESSED,True,True,tracking/d29526f898d7e6dd4f8fc0824e10ea10068c518fcd2717034933fa8e42849c6b.npz,d29526f898d7e6dd4f8fc0824e10ea10068c518fcd2717034933fa8e42849c6b
B_s12_r1_conic,heldout_41012,41012,1,conic,cluttered,True,False,PHYSICAL_ONLY,COLLISION_WITNESSED,True,True,tracking/d29526f898d7e6dd4f8fc0824e10ea10068c518fcd2717034933fa8e42849c6b.npz,d29526f898d7e6dd4f8fc0824e10ea10068c518fcd2717034933fa8e42849c6b
B_s13_r0_factor,heldout_41013,41013,0,factor,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/2bb4e7e55ede8bfe9e4397b71fac1d708aead62617134b0ba7b5e39d557c0295.npz,2bb4e7e55ede8bfe9e4397b71fac1d708aead62617134b0ba7b5e39d557c0295
B_s13_r0_conic,heldout_41013,41013,0,conic,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/2bb4e7e55ede8bfe9e4397b71fac1d708aead62617134b0ba7b5e39d557c0295.npz,2bb4e7e55ede8bfe9e4397b71fac1d708aead62617134b0ba7b5e39d557c0295
B_s13_r1_conic,heldout_41013,41013,1,conic,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/2bb4e7e55ede8bfe9e4397b71fac1d708aead62617134b0ba7b5e39d557c0295.npz,2bb4e7e55ede8bfe9e4397b71fac1d708aead62617134b0ba7b5e39d557c0295
B_s13_r1_factor,heldout_41013,41013,1,factor,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/2bb4e7e55ede8bfe9e4397b71fac1d708aead62617134b0ba7b5e39d557c0295.npz,2bb4e7e55ede8bfe9e4397b71fac1d708aead62617134b0ba7b5e39d557c0295
B_s14_r0_conic,heldout_41014,41014,0,conic,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/4ee1881b854f0b7f4baad1281334ce97d12da0037e0cf4ad906668cf06608656.npz,4ee1881b854f0b7f4baad1281334ce97d12da0037e0cf4ad906668cf06608656
B_s14_r0_factor,heldout_41014,41014,0,factor,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/4ee1881b854f0b7f4baad1281334ce97d12da0037e0cf4ad906668cf06608656.npz,4ee1881b854f0b7f4baad1281334ce97d12da0037e0cf4ad906668cf06608656
B_s14_r1_factor,heldout_41014,41014,1,factor,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/4ee1881b854f0b7f4baad1281334ce97d12da0037e0cf4ad906668cf06608656.npz,4ee1881b854f0b7f4baad1281334ce97d12da0037e0cf4ad906668cf06608656
B_s14_r1_conic,heldout_41014,41014,1,conic,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/4ee1881b854f0b7f4baad1281334ce97d12da0037e0cf4ad906668cf06608656.npz,4ee1881b854f0b7f4baad1281334ce97d12da0037e0cf4ad906668cf06608656
B_s15_r0_factor,heldout_41015,41015,0,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s15_r0_conic,heldout_41015,41015,0,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s15_r1_conic,heldout_41015,41015,1,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s15_r1_factor,heldout_41015,41015,1,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s16_r0_conic,heldout_41016,41016,0,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s16_r0_factor,heldout_41016,41016,0,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s16_r1_factor,heldout_41016,41016,1,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s16_r1_conic,heldout_41016,41016,1,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s17_r0_factor,heldout_41017,41017,0,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s17_r0_conic,heldout_41017,41017,0,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s17_r1_conic,heldout_41017,41017,1,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s17_r1_factor,heldout_41017,41017,1,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s18_r0_conic,heldout_41018,41018,0,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s18_r0_factor,heldout_41018,41018,0,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s18_r1_factor,heldout_41018,41018,1,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s18_r1_conic,heldout_41018,41018,1,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s19_r0_factor,heldout_41019,41019,0,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s19_r0_conic,heldout_41019,41019,0,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s19_r1_conic,heldout_41019,41019,1,conic,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s19_r1_factor,heldout_41019,41019,1,factor,on_axis_recovery_target,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
